,Unnamed: 0,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Month,Year,Numerator,Day_Perc_Change,Trend,Daily Return,SMA21,SMA34,average,std,Upper band,Lower band
117,117,RELINFRA,EQ,2017-11-01,502.75,504.2,512.55,494.1,495.7,498.7,504.54,1587983,801193329.5,22470,476353,30.0,11,2017,801200942.82,-0.008055693684734022,Slight negative,-0.01090836969456565,475.5333333333333,479.0926470588233,478.7107142857144,18.674140682231403,516.0589956501772,441.3624329212516
118,118,RELINFRA,EQ,2017-11-02,498.7,497.0,507.65,492.1,499.4,500.25,500.02,2282742,1141414158.0,30745,710153,31.11,11,2017,1141416654.84,0.00310808101062765,Slight or No change,0.006539235412474849,477.5738095238095,478.6397058823527,481.20000000000016,19.081646437590752,519.3632928751816,443.03670712481863
119,119,RELINFRA,EQ,2017-11-03,500.25,500.25,504.65,488.5,490.9,490.3,495.24,1453624,719895174.9,22822,471590,32.44,11,2017,719892749.76,-0.019890054972513727,Negative,-0.01989005497251372,478.8714285714285,478.13235294117624,483.12857142857155,18.488558980807625,520.1056893901869,446.1514534669563
120,120,RELINFRA,EQ,2017-11-06,490.3,489.5,491.4,475.5,479.5,479.95,480.53,1568533,753724171.9,27942,437129,27.87,11,2017,753727162.49,-0.02110952478074657,Negative,-0.019509703779366724,479.29285714285714,477.55441176470566,484.56785714285724,17.27743756756445,519.1227322779862,450.01298200772834
121,121,RELINFRA,EQ,2017-11-07,479.95,482.95,483.75,455.1,464.0,462.45,465.78,1739875,810406349.5,33749,380258,21.86,11,2017,810398977.5,-0.03646213147202837,Among top losers,-0.04244745832901957,478.85714285714283,476.40294117647034,484.6428571428573,17.17108321862914,518.9850235801156,450.300690705599
122,122,RELINFRA,EQ,2017-11-08,462.45,465.5,467.35,446.2,454.6,452.35,457.4,1662277,760322270.2,28391,261844,15.75,11,2017,760325499.8,-0.02184019894042588,Negative,-0.0282491944146079,477.6714285714286,475.12794117647036,483.8750000000001,18.40459547546137,520.6841909509228,447.06580904907736
123,123,RELINFRA,EQ,2017-11-09,452.35,459.9,471.65,454.4,469.0,469.8,463.16,2670797,1237007923.0,28856,648532,24.28,11,2017,1237006338.52,0.03857632364319663,Among top gainers,0.021526418786692834,477.29285714285714,474.4117647058821,485.0178571428573,16.82213065192154,518.6621184467003,451.37359583901423
124,124,RELINFRA,EQ,2017-11-10,469.8,467.85,468.9,458.25,465.0,465.2,464.75,1116169,518738708.8,15681,134171,12.02,11,2017,518739542.75,-0.00979140059599837,Slight negative,-0.0056642086138720404,477.25,473.72499999999974,484.7250000000001,17.149318779921646,519.0236375598433,450.42636244015677
125,125,RELINFRA,EQ,2017-11-13,465.2,465.0,468.6,455.1,458.3,459.3,460.17,1116007,513551097.7,17068,110422,9.89,11,2017,513552941.19,-0.01268271711091995,Negative,-0.012258064516129008,476.9595238095238,473.3735294117644,483.3821428571429,18.39854307717397,520.1792290114909,446.585056702795
126,126,RELINFRA,EQ,2017-11-14,459.3,460.0,468.0,456.5,459.2,459.45,462.46,1270764,587671384.8,22326,140903,11.09,11,2017,587677519.4399999,0.0003265839320705233,Slight or No change,-0.0011956521739130681,476.77619047619055,473.24411764705854,481.4285714285715,19.43078162929284,520.2901346871572,442.5670081699858
127,127,RELINFRA,EQ,2017-11-15,459.45,459.0,464.35,390.55,418.9,417.95,429.21,4536691,1947196350.0,59334,514071,11.33,11,2017,1947193144.11,-0.0903253890521275,Bear drop,-0.0894335511982571,474.7833333333335,471.5955882352938,476.225,25.52652278287441,527.2780455657488,425.17195443425123
128,128,RELINFRA,EQ,2017-11-16,417.95,420.0,450.55,411.2,446.0,446.0,430.39,8332604,3586286997.0,100369,1084530,13.02,11,2017,3586269435.56,0.06711329106352437,Among top gainers,0.06190476190476191,474.0500000000001,471.08382352941146,471.95,25.192940097757997,522.335880195516,421.564119804484
129,129,RELINFRA,EQ,2017-11-17,446.0,452.1,452.95,434.6,437.0,438.65,443.17,3021593,1339088988.0,39338,292723,9.69,11,2017,1339079369.81,-0.016479820627802733,Negative,-0.029750055297500654,472.8857142857144,470.37941176470554,467.3642857142857,24.97779343407174,517.3198725824292,417.4086988461422
130,130,RELINFRA,EQ,2017-11-20,438.65,436.0,444.9,428.55,443.6,443.35,438.49,2606614,1142978964.0,38256,176956,6.79,11,2017,1142974172.86,0.0107146928074775,Positive,0.016857798165137668,472.3880952380954,469.74117647058796,463.12142857142857,23.506273420299603,510.1339754120278,416.10888173082935
131,131,RELINFRA,EQ,2017-11-21,443.35,446.0,456.7,445.35,450.85,450.65,451.38,2173743,981176372.9,34558,243444,11.2,11,2017,981184115.34,0.016465546408029663,Positive,0.010426008968609814,471.50000000000017,469.54264705882326,459.6892857142857,21.317870605265696,502.32502692481705,417.0535445037543
132,132,RELINFRA,EQ,2017-11-22,450.65,452.95,454.5,440.0,448.6,449.4,447.14,1470376,657458712.5,22849,140161,9.53,11,2017,657463924.64,-0.002773771219349852,Slight or No change,-0.007837509658902774,470.1333333333335,469.141176470588,456.0571428571428,17.939801657668298,491.9367461724794,420.17753954180625
133,133,RELINFRA,EQ,2017-11-23,449.4,450.0,451.65,441.5,449.0,449.0,446.95,1272533,568754710.2,18677,95798,7.53,11,2017,568758624.35,-0.0008900756564307332,Slight or No change,-0.0022222222222222222,468.3333333333335,468.491176470588,453.1071428571428,15.03654339808962,483.18022965332204,423.0340560609635
134,134,RELINFRA,EQ,2017-11-24,449.0,448.9,454.4,446.55,450.8,451.45,450.51,1079498,486324035.3,14859,131056,12.14,11,2017,486324643.98,0.005456570155901952,Slight positive,0.005680552461572759,466.45952380952406,467.89852941176446,451.0714285714285,12.900383331896993,476.8721952352225,425.2706619076345
