,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Month,Year,Numerator,Day_Perc_Change,Trend
304,RELINFRA,EQ,2018-07-31,395.4,394.0,403.25,393.5,398.0,398.95,399.07,2081998,830863592.9,27911,404582,19.43,7,2018,830862941.86,0.008978249873545785,Slight positive
305,RELINFRA,EQ,2018-08-01,398.95,400.0,400.95,371.05,380.0,382.95,381.37,6738783,2569943229.0,77946,479907,7.12,8,2018,2569969672.71,-0.04010527635041983,Among top losers
306,RELINFRA,EQ,2018-08-02,382.95,378.1,408.9,373.05,399.0,402.15,392.33,5769138,2263407137.0,70432,581434,10.08,8,2018,2263405911.54,0.050137093615354456,Among top gainers
307,RELINFRA,EQ,2018-08-03,402.15,401.0,413.0,399.15,400.15,401.4,405.26,3522548,1427538215.0,46425,470719,13.36,8,2018,1427547802.48,-0.0018649757553151902,Slight or No change
308,RELINFRA,EQ,2018-08-06,401.4,402.0,416.4,401.05,413.8,413.3,409.46,3646498,1493086029.0,47151,831327,22.8,8,2018,1493095071.08,0.029646238166417538,Positive
309,RELINFRA,EQ,2018-08-07,413.3,414.05,417.7,407.45,413.45,413.4,413.24,2075010,857467866.5,27967,338196,16.3,8,2018,857477132.4,0.00024195499637058582,Slight or No change
310,RELINFRA,EQ,2018-08-08,413.4,413.4,422.0,409.8,420.5,418.7,416.31,2255578,939020467.5,29393,482841,21.41,8,2018,939019677.18,0.012820512820512775,Positive
311,RELINFRA,EQ,2018-08-09,418.7,420.5,424.5,414.35,419.75,419.0,419.92,2342825,983804798.2,27460,421454,17.99,8,2018,983799074.0,0.0007165034631000378,Slight or No change
312,RELINFRA,EQ,2018-08-10,419.0,418.5,419.5,405.7,407.65,408.4,411.23,1512112,621827787.9,19656,159950,10.58,8,2018,621825817.76,-0.025298329355608606,Negative
313,RELINFRA,EQ,2018-08-13,408.4,404.5,413.85,397.65,406.5,406.45,407.6,2067734,842807234.7,27593,400856,19.39,8,2018,842808378.4000001,-0.0047747306562193614,Slight or No change
314,RELINFRA,EQ,2018-08-14,406.45,407.25,413.0,400.1,408.4,408.85,407.35,2575484,1049120547.0,36757,341486,13.26,8,2018,1049123407.4000001,0.00590478533644978,Slight positive
315,RELINFRA,EQ,2018-08-16,408.85,407.8,414.0,400.55,402.65,402.8,407.56,1719290,700714588.4,31128,272602,15.86,8,2018,700713832.4,-0.014797603032897233,Negative
316,RELINFRA,EQ,2018-08-17,402.8,405.8,418.8,404.05,416.7,416.05,410.18,2526753,1036431127.0,33160,564986,22.36,8,2018,1036423545.54,0.03289473684210531,Among top gainers
317,RELINFRA,EQ,2018-08-20,416.05,415.15,432.6,414.0,426.2,426.9,424.04,2809542,1191348539.0,35651,240848,8.57,8,2018,1191358189.68,0.02607859632255738,Positive
318,RELINFRA,EQ,2018-08-21,426.9,426.0,428.45,417.5,420.0,419.95,421.2,2312461,974005366.5,28163,514827,22.26,8,2018,974008573.1999999,-0.016280159287889395,Negative
